Index,SCREEN_NAME,NATIONALITY,NAME
524,sylikiotis,Cyprus,SYLIKIOTIS Neoklis
525,Synadinos_Eleft,Greece,SYNADINOS Eleftherios
526,szanyitibor,Hungary,SZANYI Tibor
527,szejnfeld,Poland,SZEJNFELD Adam
528,Antonio_Tajani,Italy,TAJANI Antonio
529,HTakkula,Finland,TAKKULA Hannu
530,tamburrano,Italy,TAMBURRANO Dario
531,paultang,Netherlands,TANG Paul
532,CharlesTannock,United Kingdom,TANNOCK Charles
533,ClaudiaTapardel,Romania,ȚAPARDEL Claudia
534,marctarabella,Belgium,TARABELLA Marc
535,indrektarand,Estonia,TARAND Indrek
536,GreenKeithMEP,United Kingdom,TAYLOR Keith
537,Telicka,Czech Republic,TELIČKA Pavel
538,jmterricabras,Spain,TERRICABRAS Josep-Maria
539,THEOCHAROUSE,Cyprus,THEOCHAROUS Eleni
540,EUTheurer,Germany,THEURER Michael
541,Isabel_thomasEU,France,THOMAS Isabelle
542,rozathun,Poland,THUN UND HOHENSTEIN Róża Gräfin von
543,toiapatrizia,Italy,TOIA Patrizia
544,RuzaTomasic,Croatia,TOMAŠIĆ Ruža
545,RomanaTomc,Slovenia,TOMC Romana
546,YanaToom,Estonia,TOOM Yana
547,etorrespodemos,Spain,TORRES MARTÍNEZ Estefanía
548,NilsTorvalds,Finland,TORVALDS Nils
549,EvzenTosenovsky,Czech Republic,TOŠENOVSKÝ Evžen
550,TrebesiusMdEP,Germany,TREBESIUS Ulrike
551,ramontremosa,Spain,TREMOSA BALCELLS Ramon i
552,Troszczynski_FN,France,TROSZCZYNSKI Mylène
553,HelgaTruepel,Germany,TRÜPEL Helga
554,turcanu2014,Romania,ŢURCANU Mihai
555,ClaudeTurmes,Luxembourg,TURMES Claude
556,kmujazdowski,Poland,UJAZDOWSKI Kazimierz Michał
557,istvan_ujhelyi,Hungary,UJHELYI István
558,maritaulvskog,Sweden,ULVSKOG Marita
559,TraianUngureanu,Romania,UNGUREANU Traian
560,MiguelUrban,Spain,URBÁN CRESPO Miguel
561,ernesturtasun,Spain,URTASUN Ernest
562,ViktorUspaskich,Lithuania,USPASKICH Viktor
563,IneseVaidere,Latvia,VAIDERE Inese
564,ivajgl,Slovenia,VAJGL Ivo
565,ElenaValenciano,Spain,VALENCIANO Elena
566,bodilvalero,Sweden,VALERO Bodil
567,MarcoValliM5S,Italy,VALLI Marco
568,AngelaVallina,Spain,VALLINA Ángela
569,MonikaVana,Austria,VANA Monika
570,anneleen_vb,Belgium,VAN BOSSUYT Anneleen
571,kvanbrempt,Belgium,VAN BREMPT Kathleen
572,tomvdkendelaere,Belgium,VANDENKENDELAERE Tom
573,derekvaughan,United Kingdom,VAUGHAN Derek
574,hildevautmans,Belgium,VAUTMANS Hilde
575,kokokansanpaavo,Finland,VÄYRYNEN Paavo
576,MCVergiat,France,VERGIAT Marie-Christine
577,sabineverheyen,Germany,VERHEYEN Sabine
578,GuyVerhofstadt,Belgium,VERHOFSTADT Guy
579,vilimsky,Austria,VILIMSKY Harald
580,danieleviotti,Italy,VIOTTI Daniele
581,HennaVirkkunen,Finland,VIRKKUNEN Henna
582,AndersVistisen,Denmark,VISTISEN Anders Primdahl
583,udovoigt,Germany,VOIGT Udo
584,AxelVossMdEP,Germany,VOSS Axel
585,vozemberg,Greece,VOZEMBERG-VRIONIDI Elissavet
586,WalesaMEP,Poland,WAŁĘSA Jarosław
587,julie4nw,United Kingdom,WARD Julie
588,ManfredWeber,Germany,WEBER Manfred
589,renateweber,Romania,WEBER Renate
590,Weidenholzer,Austria,WEIDENHOLZER Josef
591,MartinaWernerEU,Germany,WERNER Martina
592,WestphalKerstin,Germany,WESTPHAL Kerstin
593,LieveWierinck,Belgium,WIERINCK Lieve
594,CeciliaWikstrom,Sweden,WIKSTRÖM Cecilia
595,GlenisWillmott,United Kingdom,WILLMOTT Dame Glenis
596,KristinaWinberg,Sweden,WINBERG Kristina
597,IuliuWinkler,Romania,WINKLER Iuliu
598,j_wisniewska,Poland,WIŚNIEWSKA Jadwiga
599,Steven_Woolfe,United Kingdom,WOOLFE Steven
600,woelken,Germany,WÖLKEN Tiemo
601,ZahradilJan,Czech Republic,ZAHRADIL Jan
602,zalaboris,Slovakia,ZALA Boris
603,Marcozanni86,Italy,ZANNI Marco
604,flaviozanonato,Italy,ZANONATO Flavio
605,Tatjana_Zdanoka,Latvia,ŽDANOKA Tatjana
606,TomZdechovsky,Czech Republic,ZDECHOVSKÝ Tomáš
607,BZdrojewski,Poland,ZDROJEWSKI Bogdan Andrzej
608,joachimzeller,Germany,ZELLER Joachim
609,JanuszZemke,Poland,ZEMKE Janusz
610,robertszile,Latvia,ZĪLE Roberts
611,GabiZimmerMEP,Germany,ZIMMER Gabriele
612,DamianoZoffoli,Italy,ZOFFOLI Damiano
613,czorrinho,Portugal,ZORRINHO Carlos
614,ZeljanaZovko,Croatia,ZOVKO Željana
615,MarcoZullo,Italy,ZULLO Marco
616,MilanZver,Slovenia,ZVER Milan
617,TadeuszZwiefka,Poland,ZWIEFKA Tadeusz
